date,person,miles
2023-11-24,Mike Young,19.8
2023-02-21,Lisa Martinez,4.2
2024-10-20,Richard Brown,6.9
2023-06-25,William Lopez,17.5
2024-03-07,Elizabeth Wright,3.3
2023-07-15,Betty Lewis,6.2
2023-07-01,Chris White,17.9
2024-10-18,Elizabeth Sanchez,18.5
2024-01-29,Elizabeth Wright,4.0
2023-11-21,David Thomas,11.1
2024-08-08,Mark Nguyen,17.9
2023-02-16,Michael King,7.9
2023-12-27,Elizabeth Sanchez,14.1
2023-04-26,Elizabeth Thomas,7.9
2023-05-30,Robert Johnson,1.9
2024-06-04,Matthew Hill,6.8
2024-10-16,Matthew Rodriguez,2.4
2023-04-08,Joseph King,3.7
2023-06-04,William Torres,3.9
2024-09-12,Robert Ramirez,5.9
2024-12-04,Donna Torres,9.9
2023-05-02,Michael Thomas,17.2
2023-11-23,Matthew Robinson,10.6
2024-09-30,Michael Thomas,10.4
2023-06-09,Chris White,11.6
2023-08-03,Kevin Wilson,6.1
2023-09-09,John Allen,3.4
2023-05-31,Kimberly White,6.6
2024-11-03,David Hill,19.2
2023-05-30,Matthew Hill,9.2
2023-02-10,Laura Robinson,4.6
2024-06-08,William Taylor,9.4
2024-03-28,Mark Lewis,9.3
2023-06-24,Lisa Clark,4.8
2023-06-30,Amanda Scott,5.8
2023-03-14,Stephanie Hill,15.5
2024-05-05,Paul Lopez,4.0
2023-07-02,Richard Smith,1.7
2024-07-11,Joseph King,4.4
2024-06-22,Chris Williams,0.6
2023-02-04,Chris Williams,2.3
2024-12-08,Joshua Wilson,7.2
2023-11-23,Christopher Thomas,8.0
2023-03-19,Karen Smith,2.2
2023-03-31,Jennifer Robinson,2.3
2024-10-27,Linda Rodriguez,9.0
2023-02-11,Robert Wilson,5.9
2024-10-13,Robert Jones,11.7
2024-04-21,Karen Young,3.4
2024-12-20,Betty Miller,17.8
2024-10-31,Sarah Jackson,3.6
2024-03-20,Christopher Lee,7.1
2024-12-17,Brian Hill,17.1
2024-05-19,John Nguyen,12.8
2023-07-14,Kimberly Nguyen,1.2
2024-04-19,Chris White,11.8
2024-03-12,Brian Perez,1.0
2023-08-01,Daniel Davis,6.8
2023-01-15,Robert Young,3.6
2024-09-02,Ashley Miller,1.3
2023-07-12,Jessica Wright,11.8
2024-10-18,Michael Allen,3.0
2023-09-12,Mark Moore,2.4
2024-03-01,Ashley Ramirez,2.6
2023-03-15,Karen Smith,4.0
2024-06-25,Karen Young,6.2
2023-12-22,Betty Martin,2.3
2023-05-03,William Wright,1.7
2023-12-20,Lisa Wilson,10.3
2024-07-28,Mike Thomas,3.4
2023-02-27,Robert Ramirez,3.7
2024-06-25,Charles Clark,3.4
2024-11-07,Jessica Taylor,2.6
2023-10-03,Mark Torres,15.7
2024-05-24,Amy King,7.1
2024-04-15,Laura Robinson,2.9
2024-02-24,Mike King,2.9
2024-01-14,Michael Taylor,1.6
2024-02-20,Michael Taylor,2.0
2023-07-23,Mark Anderson,4.2
2024-07-22,Christopher Lee,7.0
2023-02-05,Robert Thompson,9.8
2023-04-13,Stephanie Thompson,3.2
2023-03-17,David Thomas,8.6
2024-07-31,Lisa Wilson,5.0
2023-02-26,Joshua Taylor,8.6
2023-01-03,Karen Smith,3.9
2024-12-01,Michael Martinez,6.8
2024-10-13,Matthew Robinson,11.3
2023-04-02,Emily Perez,9.1
2024-06-12,William Sanchez,8.5
2023-12-14,Mike Williams,4.0
2024-12-17,Michael Taylor,1.5
2023-04-30,Joshua Nguyen,19.8
2023-04-17,Paul Lopez,7.9
2023-04-14,Charles Clark,4.9
2023-10-15,Betty Lewis,5.7
2023-10-05,Michael Thomas,12.3
2024-06-14,Ashley Walker,11.4
2024-06-10,Elizabeth Martin,2.0
2024-08-23,Mark Martinez,4.1
2023-08-24,Mike Sanchez,0.8
2024-05-03,Jessica Wright,19.2
2024-01-16,John Lee,8.0
2024-05-02,Michael Martinez,10.1
2023-02-04,Betty Allen,2.4
2023-05-03,Chris Flores,17.5
2023-04-26,Christopher Wilson,10.2
2023-01-30,Michael Martinez,10.0
2023-09-16,Betty Rodriguez,15.5
2023-04-13,Nancy Wilson,5.5
2023-02-06,Kevin White,9.5
2024-08-31,Betty Martin,2.2
2024-03-22,Stephanie Hill,17.9
2024-08-24,Amy Brown,5.1
2024-10-10,Robert Young,4.0
2023-06-02,John Johnson,10.9
2024-08-09,Robert Johnson,2.7
2024-04-08,Karen Williams,6.2
2024-02-29,Matthew Rodriguez,1.7
2024-11-12,Joshua Harris,19.1
2023-01-22,Matthew Allen,17.3
2024-07-22,Richard Wright,12.4
2023-09-15,Nancy Harris,1.4
2024-08-03,William Torres,5.3
2024-06-15,Jane Young,2.5
2023-07-22,Robert Wilson,10.0
2023-11-04,John Moore,3.5
2023-11-03,John Lee,9.6
2024-06-21,Ashley Garcia,6.3
2024-12-16,Jessica Thomas,11.9
2023-03-10,Jennifer Garcia,4.6
2023-08-05,Mike Thomas,6.6
2024-11-26,Elizabeth Sanchez,12.9
2023-03-22,Paul Smith,5.8
2023-05-11,Linda Lopez,2.7
2024-08-23,Amanda Hill,2.9
2023-07-09,Robert Johnson,1.8
2023-11-15,Paul Smith,12.0
2024-02-24,Kimberly Robinson,7.6
2023-11-10,Chris White,14.4
2024-11-13,Elizabeth Wright,4.4
2024-11-13,Jennifer Robinson,4.7
2023-11-16,Ashley Walker,11.1
2023-04-07,Elizabeth Torres,12.7
2023-07-18,Karen Torres,5.7
2024-10-28,Karen Torres,5.1
2023-09-20,Chris White,14.5
2023-12-25,Mark Torres,13.3
2023-03-11,Ashley Garcia,9.1
2023-12-10,Donna Torres,11.2
2024-04-10,Betty Martin,2.8
2024-01-30,Joshua Taylor,6.7
2023-11-22,Mike White,5.4
2024-02-15,Chris Williams,2.8
2023-03-30,Amy King,7.1
2023-09-14,Michelle Ramirez,4.8
2023-11-05,Amanda Scott,8.9
2024-03-29,Kevin White,8.9
2023-11-24,Karen Davis,9.3
2023-11-09,Kevin White,19.0
2023-06-10,Christopher Johnson,3.0
2023-07-12,Donna White,3.8
2024-06-29,Robert Wilson,5.9
2023-06-23,Richard Smith,2.4
2024-03-13,Sarah Harris,5.2
2024-10-25,Maria Walker,2.4
2023-10-06,Sarah Jackson,6.9
2023-12-27,Betty Miller,16.3
2024-01-24,Maria Sanchez,8.3
2023-01-08,Sarah Harris,5.3
2023-10-17,Lisa Martinez,5.6
2024-04-19,Laura Young,2.8
2024-12-10,Linda Lopez,3.0
2023-04-03,Betty Miller,20.0
2024-06-03,Laura Johnson,1.3
2024-04-27,Chris Gonzalez,15.5
2024-07-10,Laura Sanchez,3.7
2023-12-01,Lisa Wilson,10.9
2024-02-02,Maria Jackson,2.6
2024-03-02,Sarah Harris,6.6
2023-03-20,Elizabeth Young,7.8
2024-09-29,Joseph White,11.9
2023-07-26,David Robinson,9.6
2024-08-03,Betty Miller,15.4
2024-11-24,Michelle Hernandez,7.2
2023-09-04,Karen Davis,18.6
2023-04-17,Robert Johnson,0.7
2023-09-30,Karen Williams,7.1
2024-02-03,Laura Robinson,4.0
2024-06-13,Laura Brown,1.7
2024-05-14,Christopher Lee,5.0
2023-08-22,Joshua Nguyen,13.2
2023-08-11,Mike White,7.1
2024-08-25,Betty Robinson,8.4
2024-06-19,Michael Jones,7.9
2023-08-11,Mark Scott,4.3
2023-12-09,Richard Smith,3.3
2024-05-21,Matthew Robinson,9.5
2024-01-19,Robert Johnson,0.6
2024-03-11,Ashley Garcia,9.3
2023-10-08,Maria Jackson,2.6
2024-04-06,Elizabeth Young,5.8
2024-01-06,Thomas Robinson,11.4
2024-11-04,Emily Jones,9.6
2024-05-06,Karen Davis,10.4
2023-03-10,Robert Ramirez,4.7
2024-11-29,Chris Gonzalez,15.6
2023-02-23,Mark Rodriguez,1.4
2023-04-18,Robert Young,4.2
2024-04-06,William Torres,6.2
2023-03-25,Matthew Rodriguez,0.9
2023-04-05,Mike Thomas,6.0
2024-07-14,Karen Torres,7.3
2023-10-13,Lisa Clark,4.1
2023-04-21,Karen Davis,15.7
2024-06-04,John Johnson,9.7
2024-07-12,Karen Davis,9.4
2023-11-28,Thomas Hill,6.8
2023-04-18,Joseph Williams,3.7
2024-09-10,Michael Allen,1.7
2024-02-18,Michelle Hernandez,3.3
2023-03-13,Mike Williams,6.6
2023-02-08,Betty Sanchez,3.8
2023-06-24,Richard Smith,3.1
2024-02-29,Laura Lewis,4.2
2024-06-24,Michael King,10.7
2023-08-24,Christopher Thomas,7.5
2024-06-02,Karen Moore,0.5
2023-07-15,Jennifer Garcia,3.0
2024-02-03,Betty Miller,9.9
2023-07-25,Michael Thomas,15.9
2024-02-29,Nancy Ramirez,12.7
2023-04-17,Chris Gonzalez,13.9
2024-11-22,Mike Thomas,5.0
2023-05-12,Mike Wright,7.2
2023-06-10,Joseph White,10.8
2024-08-18,Nancy Ramirez,12.3
2023-11-30,Stephanie Scott,7.8
2023-11-20,Chris Hernandez,4.6
2023-05-06,John Johnson,6.8
2023-04-18,Laura Johnson,2.0
2024-03-27,Thomas Robinson,5.9
2023-04-22,Laura Young,2.9
2023-02-20,Joseph White,8.2
2024-01-23,Elizabeth Nguyen,2.1
2024-05-14,Emily Jones,7.7
2024-09-08,William Lopez,8.3
2023-03-14,Robert Johnson,1.8
2024-01-01,Matthew Robinson,10.7
2024-08-02,Elizabeth Wright,4.2
2023-01-10,Jessica Wright,12.1
2024-02-03,Jessica Thomas,6.5
2024-08-20,Kimberly Robinson,3.4
2023-12-27,David Robinson,15.7
2023-01-08,Thomas Hill,6.4
2024-04-24,John Moore,2.5
2024-03-19,Michael Martinez,11.1
2023-04-15,Maria Jackson,2.2
2024-12-17,Donna Flores,1.6
2023-03-10,Stephanie Davis,2.6
2023-07-27,William Wilson,4.0
2024-12-31,William Wright,3.1
2023-06-13,Paul Smith,12.0
2024-09-26,William Torres,4.1
2023-07-15,Michael Allen,2.9
2023-03-12,Mark Rodriguez,0.8
2024-08-03,David Johnson,5.7
2024-04-05,David Johnson,10.7
2024-11-10,John Smith,7.1
2024-07-22,Ashley Miller,2.5
2023-04-24,Kimberly Robinson,5.0
2024-11-01,Richard Wright,18.7
2023-05-26,Thomas Hill,5.0
2024-05-02,Karen Sanchez,8.7
2023-09-19,Elizabeth Wright,4.9
2024-01-08,Christopher Johnson,2.8
2023-11-24,Christopher Thomas,6.0
2024-10-02,Betty Robinson,11.2
2023-10-05,Sarah Jackson,5.8
2024-11-29,Donna White,3.1
2024-12-13,Stephanie Hill,19.7
2024-12-10,Robert Johnson,1.6
2024-03-13,Amanda Scott,9.8
2024-08-08,Michael Thomas,18.1
2024-06-24,Joseph Hernandez,2.7
2024-12-27,Chris Ramirez,4.5
2024-02-18,William Wilson,2.5
2023-01-30,Christopher Perez,11.9
2024-07-01,David Robinson,14.1
2024-09-14,Joseph Gonzalez,13.6
2023-06-01,Maria Williams,3.8
2024-09-25,William Lopez,14.8
2023-01-30,Amy King,7.3
2024-05-06,David Smith,6.6
2023-08-14,Jane Jones,7.0
2024-05-16,Michael Jones,3.6
2024-01-27,Karen Williams,7.9
2023-07-22,John Brown,5.9
2023-11-04,William Taylor,9.9
2024-06-12,Robert Thompson,5.7
2024-07-11,Jessica Wright,12.8
2024-09-03,Kimberly Robinson,4.9
2024-05-01,Jane Jones,7.4
2024-04-07,Brian Gonzalez,11.6
2023-10-23,James Hill,2.1
2024-08-31,Elizabeth Thompson,2.5
2024-12-04,Christopher Johnson,0.9
2023-09-12,Matthew Hill,5.3
2023-07-23,Linda Jones,7.6
2023-03-05,Elizabeth Wright,6.4
2024-01-10,John Moore,2.4
2023-11-27,Amy Brown,10.0
2023-09-02,Chris Hernandez,2.6
2024-12-28,John Nguyen,8.2
2024-02-02,Kevin White,14.8
2023-08-01,Amanda Allen,10.1
2023-10-24,Jessica Taylor,3.1
2023-06-11,Lisa Jones,14.2
2023-03-28,Brian Hill,17.6
2023-12-25,Stephanie Davis,2.9
2023-08-11,Mark Rodriguez,1.1
2023-06-08,Matthew Rodriguez,1.7
2024-01-31,Thomas Scott,2.2
2024-03-11,Mike Wright,4.8
2024-09-06,Karen Young,6.6
2023-12-31,Mark Torres,9.6
2023-03-29,Mark Nguyen,18.8
2023-12-13,Elizabeth Nguyen,1.7
2024-02-25,Elizabeth Nguyen,2.5
2023-06-14,John Lee,11.5
2024-01-12,Amanda Allen,11.0
2023-02-08,Lisa Clark,4.1
2024-07-04,Elizabeth Gonzalez,6.0
2023-10-11,Amy King,8.5
2023-03-23,Karen Flores,1.0
2024-04-29,Chris Hernandez,4.0
2024-02-09,Christopher Jones,1.9
2023-12-22,Linda Jones,11.9
2024-10-12,Robert Jones,18.3
2023-02-05,John Nguyen,13.4
2023-08-26,Lisa Jones,15.9
2023-09-25,Betty Miller,9.4
2024-02-17,Betty Robinson,8.7
2024-06-22,Jessica Taylor,4.9
2024-12-20,Mark Martinez,2.8
2023-09-30,Michael Taylor,2.3
2024-02-21,Matthew Hill,9.1
2023-04-08,Lisa Clark,1.6
2023-02-17,Sarah Harris,6.3
2023-12-30,Matthew Wright,9.4
2024-03-01,Elizabeth Young,7.8
2023-09-10,David Thomas,15.0
2024-02-09,Amanda Allen,6.0
2023-10-25,Amanda Robinson,7.6
2023-04-05,Donna Flores,2.6
2023-07-15,Sarah Sanchez,7.9
2023-06-21,Mike Wright,6.6
2024-04-14,Nancy Jackson,3.4
2023-05-13,Lisa Jones,14.0
2023-12-24,Linda Jones,5.4
2023-02-01,Paul Taylor,11.8
2024-04-20,Chris Williams,0.7
2024-09-12,Betty Allen,2.7
2023-07-02,Joseph Lopez,17.8
2024-06-15,Jessica Taylor,4.9
2023-05-11,Kimberly Nguyen,2.6
2024-05-14,Michelle Hernandez,7.2
2024-01-17,Amy King,10.3
2024-03-28,Michael Jones,4.8
2023-10-25,Chris Williams,2.1
2023-10-06,Donna White,1.8
2024-12-14,Elizabeth Taylor,0.8
2024-09-13,Kimberly White,3.9
2024-12-27,Mark Rodriguez,1.8
2024-10-19,Emily Martinez,3.5
2024-06-01,Michael Martinez,5.7
2023-12-08,Thomas Scott,2.5
2024-11-11,Elizabeth Nguyen,2.3
2023-10-14,William Sanchez,9.5
2023-06-03,John Brown,7.2
2023-06-05,William Torres,7.3
2024-12-08,Linda Rodriguez,5.9
2023-11-15,John Allen,5.2
2023-08-31,Stephanie Scott,7.6
2024-04-10,Nancy Jackson,4.7
2024-01-23,James Nguyen,18.8
2024-07-27,Amanda Hill,1.8
2024-08-09,David Robinson,12.7
2024-09-30,Elizabeth Sanchez,9.7
2024-07-06,Mark Walker,13.3
2024-04-12,Nancy Ramirez,16.6
2023-06-09,Christopher Johnson,0.6
2024-05-30,Michael Thomas,9.1
2024-03-06,Joseph Lopez,12.9
2024-04-11,Chris Williams,3.0
2024-01-11,John Smith,7.2
2024-09-09,Elizabeth Martin,4.5
2024-05-25,Betty Rodriguez,8.8
2024-07-20,John Brown,5.7
2023-02-14,William Smith,1.9
2024-01-09,Ashley Walker,10.6
2024-12-18,Linda Lopez,4.1
2023-11-24,Paul Taylor,12.4
2023-05-17,Amanda Allen,11.6
2024-07-27,Matthew Wright,9.2
2024-02-03,Elizabeth Torres,13.6
2024-10-06,John Lee,6.0
2023-06-09,John Lee,6.6
2023-02-04,Amy King,9.5
2024-02-16,Thomas Hill,5.0
2023-11-09,Daniel Davis,5.6
2024-02-29,David Hill,15.2
2024-02-15,Michelle Hernandez,7.9
2023-08-31,Ashley Ramirez,1.1
2023-04-07,Laura Young,1.0
2023-11-30,Stephanie Garcia,4.2
2023-11-03,Kimberly Robinson,5.7
2024-09-15,Kevin White,11.2
2023-12-12,Brian Gonzalez,10.3
2024-12-10,Chris White,11.9
2024-05-09,Elizabeth Gonzalez,7.4
2023-06-27,Ashley Davis,5.3
2024-11-15,James Hill,1.0
2023-11-03,Lisa Clark,2.8
2024-12-22,Mark Nguyen,15.9
2024-03-07,Donna Young,11.8
2023-08-08,Christopher Lee,5.9
2023-07-25,Elizabeth Thompson,0.7
2024-08-12,Stephanie Scott,5.1
2024-09-22,Matthew Rodriguez,0.6
2023-01-11,Lisa Walker,12.8
2023-04-30,Michelle Hernandez,7.0
2023-07-27,Ashley Miller,1.8
2024-12-11,Sarah Wright,6.3
2024-06-14,Laura Brown,4.8
2023-02-01,Linda Jones,5.5
2024-09-05,Stephanie Davis,1.2
2024-01-03,Jane Lewis,5.1
2024-07-29,Lisa Martinez,3.9
2024-10-17,Elizabeth Wright,7.0
2024-01-17,Linda Lopez,2.6
2023-02-12,Ashley Davis,10.6
2024-08-10,Amy King,8.3
2023-02-01,Emily Martinez,5.2
2024-12-19,Karen Moore,0.6
2024-10-10,Michelle Hernandez,7.8
2024-07-06,Elizabeth Taylor,2.0
2024-12-24,Elizabeth Torres,12.5
2023-10-12,Christopher Perez,8.8
2023-05-18,Kevin Taylor,9.5
2023-12-12,Robert Ramirez,3.8
2024-01-15,Mark Nguyen,18.8
2024-11-05,Brian Perez,2.5
2024-03-27,Chris Ramirez,1.6
2023-07-05,Michael Jones,6.1
2023-06-15,John Johnson,11.8
2023-06-15,Laura Thomas,1.4
2023-09-05,Mike White,4.8
2024-07-10,Matthew Wright,7.3
2024-08-30,Elizabeth Gonzalez,7.0
2023-09-22,Michael Thomas,19.2
2023-11-10,Jessica Thomas,6.2
2023-12-17,Christopher Lee,5.5
2024-09-29,Joseph Lopez,17.0
2023-07-23,Mark Scott,4.8
2023-05-09,Robert Young,4.7
2023-12-08,Richard Ramirez,5.0
2023-03-22,Elizabeth Young,5.6
2024-11-15,Joseph King,1.8
2023-04-03,James Nguyen,9.0
2024-07-01,Maria Jackson,1.7
2023-01-27,Joshua Taylor,6.7
2023-02-06,Christopher Lopez,2.7
2023-01-01,Michelle Ramirez,2.9
2023-02-18,John Allen,6.5
2024-08-07,Jessica Wright,11.7
2024-07-27,Mark Nguyen,14.3
2024-01-23,Thomas Robinson,10.6
2023-12-15,David Hill,14.7
2024-10-30,Ashley Miller,1.8
2023-05-24,Christopher Thomas,10.4
2024-10-12,Kimberly Miller,3.2
2024-03-19,Richard Ramirez,2.4
2023-01-09,Jane Lewis,3.9
2023-07-08,Matthew Allen,18.1
2024-03-16,Karen Young,5.0
2023-11-04,Mark Jones,9.1
2024-01-24,John Lee,11.1
2023-09-30,John Nguyen,11.2
2023-04-03,Joseph Williams,2.7
2023-10-03,William Sanchez,6.3
2023-08-01,Joseph King,3.8
2023-02-11,Ashley Walker,11.3
2024-12-06,Chris Thompson,11.7
2023-04-22,Kimberly Nguyen,1.3
2023-01-04,Brian Hill,19.5
2023-05-09,Jane Young,3.8
2024-10-09,Thomas Scott,0.7
2024-12-26,Linda Jones,9.7
2024-10-26,Mike Young,13.2
2023-01-26,Joseph King,4.6
2023-06-01,Elizabeth Gonzalez,5.9
2023-09-28,Ashley Miller,2.9
2023-07-08,Amy Brown,10.9
2023-06-07,William Lewis,7.5
2024-03-19,James Hill,2.3
2023-02-23,Maria Jackson,3.0
2023-06-12,William Sanchez,11.5
2023-05-27,Joseph Hernandez,3.0
2024-06-24,Mike King,1.3
2024-09-11,Emily Martinez,6.5
2024-04-08,Karen Moore,0.6
2023-01-16,Chris White,16.2
2023-09-11,David Thomas,8.8
2023-01-30,Matthew Rodriguez,2.2
2023-07-30,Emily Martinez,6.9
2024-02-29,Lisa Walker,11.9
2024-12-24,Mark Lewis,8.3
2023-09-15,James Nguyen,16.4
2023-10-09,Betty Sanchez,2.8
2023-06-06,Mark Martinez,2.1
2024-12-08,Richard Ramirez,3.0
2024-08-14,Mike White,5.3
2023-07-04,Maria Sanchez,5.6
2023-03-25,Robert Thompson,10.2
2024-09-11,Paul Taylor,14.1
2024-03-24,Elizabeth Taylor,2.5
2024-03-15,Karen Smith,2.4
2024-12-22,Sarah Jackson,7.9
2024-06-22,Laura Johnson,1.2
2023-08-06,Christopher Lopez,2.7
2023-04-10,Amanda Robinson,7.3
2024-04-04,Christopher Thomas,11.8
2023-05-07,Linda Lopez,3.9
2024-03-06,Mike Sanchez,2.6
2024-05-06,Chris Hernandez,4.9
2024-12-24,Michael Smith,4.0
2024-01-15,Emily Jones,9.0
2023-01-31,Thomas Wilson,2.2
2024-07-28,Sarah Harris,3.5
2024-11-09,Betty Miller,17.8
2024-05-20,Karen Sanchez,10.7
2023-10-27,Mark Walker,11.5
2024-07-17,Michael Smith,7.9
2023-07-17,Thomas Wilson,1.8
2024-06-28,Robert Wilson,9.3
2023-11-18,Betty Smith,2.3
2024-07-12,Laura Lewis,7.6
2024-12-18,Joseph Hernandez,4.4
2023-10-18,Brian Hill,8.6
2024-04-20,Michael Taylor,3.3
2023-08-01,David Smith,4.0
2024-04-07,Joshua Harris,8.9
2023-12-03,David Smith,3.3
2023-04-09,William Lewis,3.0
2024-08-09,Elizabeth Martin,3.4
2023-06-08,Kevin White,8.9
2024-08-25,William Wilson,4.1
2024-12-14,Amy King,9.2
2024-05-09,Sarah Wright,6.3
2024-12-31,Stephanie Garcia,3.3
2024-09-17,Mark Scott,1.7
2023-02-06,John Lee,8.9
2024-04-03,Thomas Robinson,10.9
2024-02-07,David Smith,6.3
2024-05-11,Mike Thomas,6.3
2024-06-13,Michelle Hernandez,5.3
2024-08-01,William Sanchez,8.5
2024-12-02,Chris Flores,14.3
2024-01-20,Jessica Taylor,3.8
2023-07-11,William Sanchez,7.5
2023-05-03,Christopher Jones,2.2
2024-07-25,John Smith,4.9
2023-05-17,Paul Taylor,14.2
2024-03-14,Joshua Taylor,8.4
2024-03-11,Thomas Scott,1.7
2024-05-03,Joseph Gonzalez,18.4
2024-06-23,Mark Torres,11.1
2024-09-06,Jane Lewis,3.9
2023-05-03,Sarah Jackson,6.8
2023-09-13,Matthew Allen,17.2
2024-07-06,Donna Torres,10.6
2024-07-07,Linda Jones,5.7
2024-08-13,Matthew Wright,8.0
2023-06-21,Joseph King,2.3
2023-11-24,James Lopez,11.4
2023-04-25,Richard Brown,7.4
2023-04-13,Amanda Hill,2.8
2024-01-03,James Nguyen,9.4
2024-03-07,Laura Lewis,5.7
2024-01-25,Daniel Davis,6.4
2023-10-30,Robert Jones,18.6
2023-08-07,Ashley Ramirez,1.5
2024-12-16,Christopher Lopez,3.4
2024-09-24,Jessica Wright,19.8
2023-09-03,Daniel Davis,5.9
2023-02-09,Michael Smith,6.3
2024-11-05,Elizabeth Nguyen,1.2
2023-04-05,Kevin White,19.0
2024-07-23,Matthew Hill,5.2
2024-01-29,Mark Moore,1.6
2023-06-03,Jane Jones,9.3
2024-04-06,Amanda Hill,2.6
2023-12-26,Matthew Rodriguez,2.8
2024-01-06,Joseph King,2.0
2024-04-26,Stephanie Scott,4.2
2023-05-25,Elizabeth Young,3.0
2024-07-28,Michael Smith,5.2
2023-03-12,Laura Lewis,7.8
2024-01-18,Mark Martinez,3.6
2024-01-25,Laura Sanchez,3.5
2024-02-10,David Robinson,15.9
2024-05-18,William Smith,2.9
2023-12-03,Kevin White,18.5
2024-05-26,Mark Moore,0.6
2023-12-11,Richard Ramirez,3.4
2024-05-17,Christopher Hill,12.4
2023-09-20,Daniel Davis,5.9
2024-10-01,Joseph White,6.6
2024-12-03,Jane Lewis,4.0
2024-11-07,Kevin Wilson,11.1
2023-02-17,Linda Jones,8.2
2024-02-22,Elizabeth Thomas,5.6
2024-10-03,Joseph King,4.9
2024-04-03,Linda Rodriguez,10.2
2024-09-22,Stephanie Scott,7.4
2023-07-10,Karen Flores,0.8
2023-07-28,Maria Williams,7.0
2023-11-08,Christopher Jones,1.9
2024-06-08,Mark Torres,18.8
2023-12-18,Ashley Walker,7.2
2024-07-09,Robert Thompson,11.4
2024-01-10,Mark Martinez,4.5
2024-12-10,Jessica Wright,9.1
2024-04-24,Mike Young,19.8
2023-12-28,Amanda Scott,11.5
2023-09-20,Joseph Gonzalez,10.0
2023-11-19,Michael King,7.1
2024-10-03,Michelle Ramirez,5.0
2024-03-13,Mark Moore,2.7
2023-03-11,Kevin Wilson,11.8
2023-01-25,Linda Lopez,2.6
2023-02-18,Thomas Hill,4.4
2023-09-23,Laura Thomas,2.3
2024-09-19,Joseph King,3.5
2023-04-21,John Johnson,11.2
2024-12-10,Paul Lopez,6.9
2023-02-18,Lisa Walker,18.0
2023-03-04,Matthew Rodriguez,0.9
2023-03-26,Nancy Wilson,5.2
2024-12-15,Sarah Wright,3.9
2023-01-18,Sarah King,2.8
2024-05-27,Amy King,12.0
2023-05-13,Paul Taylor,17.8
2024-05-17,Mike King,1.9
2024-03-21,Sarah King,1.0
2024-07-31,Robert Thompson,5.1
2023-02-26,Chris Flores,12.6
2024-02-15,Paul Smith,10.5
2024-12-16,Elizabeth Gonzalez,4.4
2023-02-15,Laura Lewis,3.4
2024-01-30,Joshua Harris,16.4
2024-02-10,Elizabeth Thompson,0.7
2023-09-15,Mark Anderson,7.8
2023-06-08,Robert Thompson,12.0
2024-12-28,Nancy Ramirez,12.2
2024-09-04,Thomas Hill,3.3
2024-04-17,Stephanie Scott,4.8
2024-03-23,Chris Hernandez,3.8
2024-04-14,Elizabeth Thompson,2.4
2024-03-13,Betty Lewis,4.5
2024-11-01,Amy Brown,6.9
2024-05-21,Michelle Gonzalez,5.1
2024-05-14,Elizabeth Sanchez,17.6
2024-12-18,Michael King,5.9
2023-11-17,Mark Moore,1.7
2023-07-13,Sarah Sanchez,8.9
2023-08-30,Robert Ramirez,4.4
2024-02-24,Mike Williams,6.5
2023-02-09,Joshua Wilson,6.4
2023-11-05,Elizabeth Torres,8.7
2023-03-18,Michael Robinson,16.7
2024-11-03,Linda Lopez,1.6
2024-08-14,Betty Rodriguez,14.3
2023-07-21,Lisa Jones,14.6
2023-07-12,Chris White,10.6
2024-05-02,Linda Lopez,3.9
2024-11-28,Laura Sanchez,5.0
2024-08-26,David Smith,4.4
2023-05-24,Karen Young,6.6
2023-05-12,Chris Hernandez,3.7
2024-04-03,Lisa Wilson,11.9
2023-12-10,Betty Smith,2.2
2023-08-21,Mike King,2.3
2024-08-06,Elizabeth Nguyen,1.4
2023-06-11,Christopher Wilson,10.3
2024-12-17,Betty Sanchez,3.5
2024-10-12,Robert White,3.2
2023-09-11,Donna Young,5.6
2024-04-08,Stephanie Scott,5.6
2023-11-09,Robert Ramirez,6.7
2024-05-11,Mike White,4.1
2023-10-02,Betty Rodriguez,17.1
2023-11-17,Michelle Hernandez,5.2
2024-03-24,William Wright,3.0
2024-08-12,Michael Allen,2.1
2024-09-10,Joseph Lopez,13.2
2023-03-17,John Allen,6.8
2023-05-27,Joshua Taylor,6.1
2023-08-26,David Robinson,11.2
2024-04-03,David Smith,4.0
2024-08-07,Jane Lewis,6.1
2023-02-10,Laura Brown,2.9
2024-01-30,Donna Flores,2.0
2024-11-15,Elizabeth Thomas,7.0
2023-03-09,Elizabeth Nguyen,0.7
2023-05-17,Lisa Martinez,3.5
2024-08-04,Christopher Thomas,5.0
2024-12-26,Karen Moore,2.6
2023-11-22,Karen Sanchez,15.1
2023-02-17,Joshua Taylor,11.3
2024-09-10,Daniel Davis,7.1
2023-01-13,John Moore,2.3
2024-10-21,Thomas Rodriguez,7.2
2024-05-20,Elizabeth Martin,3.8
2024-08-23,Chris Ramirez,2.1
2024-06-29,Mike Thomas,5.1
2023-04-20,Mike White,7.7
2024-04-06,Elizabeth Thompson,2.8
2023-01-05,Sarah Harris,4.8
2023-04-23,Amy King,6.0
2024-03-29,Sarah Wright,8.0
2023-10-25,Elizabeth Nguyen,2.1
2024-06-04,Christopher Jones,2.8
2024-03-14,Maria Walker,4.9
2023-11-14,Robert Jones,9.2
2024-12-04,Thomas Robinson,5.7
2023-08-02,William Wilson,3.0
2024-12-23,Matthew Wright,10.9
2024-01-21,Laura Thomas,1.3
2023-11-14,Karen Moore,2.4
